Dataset,Variável,N,Média,Mediana,Mín.,Máx.,DP
DS1,GDP (constant 2015 US$),875,462076047461.43,51104539956.4,259999643.05,20816096100824.5,1837242071742.46
DS1,Gasto em educação (% PIB),875,4.34,4.26,0.36,11.52,1.63
DS1,Desemprego total (%),875,6.98,5.2,0.53,34.15,5.41
DS2,GDP (constant 2015 US$),343,931964195990.6,253433824168.6,7797667196.73,20816096100824.5,2780685739050.3
DS2,Gasto em educação (% PIB),343,4.8,4.68,0.96,8.58,1.41
DS2,Desemprego – Ed. avançada (%),343,5.39,4.15,1.0,21.36,3.8
DS2,Desemprego – Ed. básica (%),343,11.03,9.91,0.46,42.76,7.62
DS2,Desemprego – Ed. intermediária (%),343,8.03,6.75,0.81,35.34,5.48
DS3,GDP (constant 2015 US$),798,436080259278.98,51762962990.37,259999643.05,20816096100824.5,1877430065350.36
DS3,Gasto em educação (% gasto gov.),798,14.56,14.12,1.31,32.59,4.61
DS3,Desemprego total (%),798,7.26,5.41,0.53,34.15,5.52
DS4,GDP (constant 2015 US$),329,905673110512.95,242450355830.88,7797667196.73,20816096100824.5,2836316895435.97
DS4,Gasto em educação (% gasto gov.),329,13.89,12.92,7.44,32.59,4.08
DS4,Desemprego – Ed. avançada (%),329,5.22,4.12,1.0,19.58,3.52
DS4,Desemprego – Ed. básica (%),329,10.8,9.59,0.46,42.76,7.58
DS4,Desemprego – Ed. intermediária (%),329,7.93,6.9,0.81,35.34,5.18
