Country Name,GDP_pc_medio,quantil,datasets
Burundi,262.6,Q1 – Baixa renda,"DS1, DS3"
Central African Republic,387.7,Q1 – Baixa renda,"DS1, DS3"
Madagascar,450.48,Q1 – Baixa renda,DS1
"Somalia, Fed. Rep.",477.88,Q1 – Baixa renda,DS3
Niger,511.2,Q1 – Baixa renda,"DS1, DS3"
Mozambique,613.31,Q1 – Baixa renda,"DS1, DS3"
"Gambia, The",645.87,Q1 – Baixa renda,"DS1, DS3"
Liberia,656.58,Q1 – Baixa renda,DS1
Ethiopia,688.85,Q1 – Baixa renda,"DS1, DS3"
Togo,783.17,Q1 – Baixa renda,"DS1, DS3"
Rwanda,797.21,Q1 – Baixa renda,"DS1, DS3"
Guinea,865.73,Q1 – Baixa renda,"DS1, DS3"
Mali,875.43,Q1 – Baixa renda,"DS1, DS3"
Uganda,890.29,Q1 – Baixa renda,"DS1, DS3"
Chad,916.28,Q1 – Baixa renda,DS1
Nepal,972.19,Q1 – Baixa renda,"DS1, DS3"
Tanzania,1004.65,Q1 – Baixa renda,"DS1, DS3"
Sierra Leone,1008.47,Q1 – Baixa renda,DS1
Benin,1058.95,Q1 – Baixa renda,"DS1, DS3"
Tajikistan,1068.6,Q1 – Baixa renda,"DS1, DS3"
Kyrgyz Republic,1143.57,Q1 – Baixa renda,"DS1, DS3"
Zambia,1293.23,Q1 – Baixa renda,"DS1, DS3"
Senegal,1314.0,Q1 – Baixa renda,"DS1, DS3"
Sao Tome and Principe,1380.26,Q1 – Baixa renda,"DS1, DS3"
Haiti,1404.0,Q1 – Baixa renda,"DS1, DS3"
Bangladesh,1421.52,Q1 – Baixa renda,DS1
Timor-Leste,1435.44,Q1 – Baixa renda,"DS1, DS3"
Cameroon,1443.56,Q1 – Baixa renda,"DS1, DS3"
Pakistan,1498.24,Q1 – Baixa renda,"DS1, DS3"
Kenya,1566.86,Q1 – Baixa renda,"DS1, DS3"
India,1782.18,Q1 – Baixa renda,"DS1, DS3"
Ghana,1865.04,Q1 – Baixa renda,"DS1, DS3"
Cote d'Ivoire,1973.05,Q1 – Baixa renda,"DS1, DS3"
"Congo, Rep.",2022.97,Q1 – Baixa renda,"DS1, DS3"
Nicaragua,2083.61,Q1 – Baixa renda,"DS1, DS3"
Ukraine,2249.86,Q1 – Baixa renda,"DS1, DS2, DS3, DS4"
Honduras,2339.58,Q1 – Baixa renda,DS1
Lao PDR,2375.34,Q1 – Baixa renda,"DS1, DS3"
Nigeria,2433.54,Q1 – Baixa renda,"DS1, DS3"
Papua New Guinea,2526.04,Q1 – Baixa renda,"DS1, DS3"
Vanuatu,2901.6,Q1 – Baixa renda,"DS1, DS3"
Viet Nam,2958.97,Q1 – Baixa renda,"DS1, DS2, DS3, DS4"
Uzbekistan,3055.7,Q2 – Renda média,"DS1, DS3"
Bolivia,3068.46,Q2 – Renda média,"DS1, DS2, DS3, DS4"
Moldova,3106.9,Q2 – Renda média,"DS1, DS2, DS3, DS4"
Bhutan,3199.88,Q2 – Renda média,"DS1, DS3"
Morocco,3212.28,Q2 – Renda média,"DS1, DS3"
Philippines,3236.52,Q2 – Renda média,"DS1, DS3"
Angola,3261.6,Q2 – Renda média,"DS1, DS3"
Eswatini,3575.14,Q2 – Renda média,"DS1, DS3"
Indonesia,3591.7,Q2 – Renda média,"DS1, DS2, DS3, DS4"
Cabo Verde,3653.41,Q2 – Renda média,"DS1, DS3"
Armenia,3877.51,Q2 – Renda média,"DS1, DS2, DS3, DS4"
Jordan,3928.55,Q2 – Renda média,"DS1, DS3"
El Salvador,3936.47,Q2 – Renda média,"DS1, DS2, DS3, DS4"
Guatemala,3996.03,Q2 – Renda média,"DS1, DS3"
Mongolia,4033.46,Q2 – Renda média,"DS3, DS4"
Samoa,4320.19,Q2 – Renda média,"DS1, DS3"
Namibia,4388.42,Q2 – Renda média,"DS1, DS3"
Georgia,4517.22,Q2 – Renda média,"DS1, DS2, DS3, DS4"
Algeria,4658.34,Q2 – Renda média,"DS1, DS3"
Albania,4704.37,Q2 – Renda média,"DS1, DS2, DS3, DS4"
Bosnia and Herzegovina,5178.82,Q2 – Renda média,"DS1, DS2"
Azerbaijan,5283.14,Q2 – Renda média,"DS1, DS3"
Fiji,5326.58,Q2 – Renda média,"DS1, DS3"
Jamaica,5541.37,Q2 – Renda média,DS1
Belize,5752.12,Q2 – Renda média,"DS1, DS3"
Ecuador,5886.62,Q2 – Renda média,DS1
South Africa,6008.82,Q2 – Renda média,"DS1, DS2, DS3, DS4"
Thailand,6067.88,Q2 – Renda média,"DS1, DS2, DS3, DS4"
Belarus,6071.47,Q2 – Renda média,"DS1, DS3"
Paraguay,6145.23,Q2 – Renda média,DS1
Peru,6355.44,Q2 – Renda média,"DS1, DS2, DS3, DS4"
Gabon,6825.83,Q2 – Renda média,"DS1, DS3"
Dominican Republic,7448.29,Q2 – Renda média,"DS1, DS2, DS3, DS4"
Cuba,7821.12,Q2 – Renda média,"DS1, DS3"
Bulgaria,8002.41,Q2 – Renda média,"DS1, DS2, DS3, DS4"
Suriname,8333.78,Q2 – Renda média,"DS1, DS3"
Brazil,8678.51,Q2 – Renda média,"DS1, DS2, DS3, DS4"
Russian Federation,9525.85,Q2 – Renda média,"DS1, DS2"
Maldives,9850.28,Q2 – Renda média,"DS1, DS3"
Romania,10189.28,Q2 – Renda média,"DS1, DS2, DS3, DS4"
Mauritius,10229.67,Q2 – Renda média,"DS1, DS2, DS3, DS4"
Malaysia,10254.76,Q2 – Renda média,"DS1, DS3"
St. Lucia,10444.6,Q3 – Alta renda,"DS1, DS3"
Kazakhstan,10496.12,Q3 – Alta renda,"DS1, DS3"
